	Famp	Fphase	w
0	(1.6504749118930326-0.5635251562704956j)	-0.3290216721778443	0.5711935448221501
1	(1.9013607852906336-0.8087666946621608j)	-0.40217725516004854	1.1423870896443002
2	(2.164390889405556-0.9422365978796748j)	-0.4105923961878246	1.7135806344664504
3	(2.424319116145631-0.9910529647185288j)	-0.388066417987472	2.2847741792886005
4	(2.6789693363684894-0.9612231081461716j)	-0.34449579826311333	2.855967724110751
5	(2.92192233908747-0.8587611403909795j)	-0.2858536836354396	3.4271612689329007
6	(3.1439663388682786-0.6929616326944101j)	-0.21694134704585935	3.9983548137550513
7	(3.3345958420891737-0.4762858801047216j)	-0.141872087354538	4.569548358577201
8	(3.4833870933179516-0.22316543576416384j)	-0.06397820825649697	5.140741903399351
9	(3.5813196930554203+0.0514848561075696j)	0.014374955101908744	5.711935448221502
10	(3.621953097564347+0.33360676139674134j)	0.09184771912257549	6.283128993043652
11	(3.602293791989607+0.6109359300780209j)	0.16799783267393034	6.8543225378658015
12	(3.5232000226321523+0.8734371578025317j)	0.24301081022455892	7.425516082687952
13	(3.389243245352143+1.1132763116964064j)	0.31737027182096206	7.996709627510103
14	(3.208051434939819+1.3244689163401295j)	0.39154127403503686	8.567903172332253
15	(2.9892677072551828+1.5023938982819605j)	0.4657222265240384	9.139096717154402
16	(2.7433382137286473+1.6433529389877992j)	0.5397089236769054	9.710290261976553
17	(2.4803739822804887+1.7443016466562156j)	0.6128980826969457	10.281483806798702
18	(2.2093038474718885+1.802799420680551j)	0.6844232146587146	10.852677351620853
19	(1.937456933134881+1.8171458349972895j)	0.7533654950511539	11.423870896443004
20	(1.6706038455397945+1.7866149882814841j)	0.8189417815865636	11.995064441265153
21	(1.4133740499304055+1.7116789629916793j)	0.8805657646408024	12.566257986087304
22	(1.1698811172611812+1.5941287241409714j)	0.9376994609070675	13.137451530909455
23	(0.9443484158280271+1.4370455664404038j)	0.989414108378052	13.708645075731603
24	(0.7415433295513016+1.2446312520692138j)	1.033475511066825	14.279838620553754
25	(0.5668916218590254+1.0219513315089717j)	1.0643404459761232	14.851032165375903
26	(0.4262362888901778+0.7746691776105998j)	1.0677863917101085	15.422225710198054
27	(0.32530157913292534+0.5088419183915404j)	1.0019813661062178	15.993419255020205
28	(0.2689976099695561+0.23081761088072816j)	0.7091579964972942	16.564612799842354
29	(0.2607361030347545-0.05277224767841382j)	-0.19969945860223245	17.135806344664505
30	(0.30191668780440595-0.3349733260834185j)	-0.8372548438415789	17.706999889486653
31	(0.3916921572430515-0.6084956859590462j)	-0.9988586372754008	18.278193434308804
32	(0.5270464117348974-0.8657998711068533j)	-1.0239756350733251	18.84938697913096
33	(0.703142140003118-1.0993264284061892j)	-1.0017585916191984	19.420580523953106
34	(0.9138370076699628-1.3018678629687583j)	-0.958767538759013	19.991774068775257
35	(1.1522410755703891-1.4670329388389416j)	-0.9050073576484742	20.562967613597404
36	(1.4111982091966007-1.5897162864964134j)	-0.8448160318753181	21.134161158419555
37	(1.6836139481179928-1.6664735357498528j)	-0.780281800649331	21.705354703241706
38	(1.9626075899547777-1.6957183817750792j)	-0.712573261871692	22.276548248063857
39	(2.241519952021765-1.6776990368676052j)	-0.6425179292649481	22.84774179288601
40	(2.5138453354883046-1.614265778424477j)	-0.5708369568075238	23.418935337708156
41	(2.7731678194602893-1.5084930835632j)	-0.49819435029121606	23.990128882530307
42	(3.013167639626936-1.3642541125698777j)	-0.42515016871079775	24.561322427352458
43	(3.227730285267627-1.185852169063682j)	-0.3520867152874422	25.13251597217461
44	(3.411151238928209-0.9777913560706649j)	-0.2791604361915354	25.70370951699676
45	(3.558395993038273-0.7447236092635531j)	-0.2063085619607604	26.27490306181891
46	(3.6653579185024374-0.49155474461409343j)	-0.13331283815711886	26.846096606641055
47	(3.7290595644537854-0.22364380005369647j)	-0.05990149529625336	27.417290151463206
48	(3.7477631452277587+0.05299855239498434j)	0.014140440018402048	27.988483696285357
49	(3.72098510933721+0.3316076648884163j)	0.08888343598780228	28.559677241107508
50	(3.649437249301203+0.6047274187782007j)	0.16421216784454037	29.130870785929663
51	(3.5349335029593862+0.8644607589260849j)	0.23984078068191206	29.702064330751806
52	(3.380302340336205+1.1028798933203607j)	0.3153771065017226	30.273257875573957
53	(3.189330051701258+1.3125248332415211j)	0.39041166564168395	30.84445142039611
54	(2.9667362491747373+1.486896176164456j)	0.4645985187651189	31.41564496521826
55	(2.7181584956609983+1.6208509103433562j)	0.537697998520732	31.98683851004041
56	(2.4501072398967785+1.7108365607695708j)	0.6095639955926822	32.55803205486256
57	(2.1698512085310515+1.7549406648568369j)	0.6800740603006648	33.12922559968471
58	(1.8852081070524087+1.7527770307269188j)	0.7490119161438046	33.70041914450686
59	(1.6042415688102587+1.705265091062844j)	0.8159139388772652	34.27161268932901
60	(1.3348944675763235+1.6143750190459116j)	0.8798786633986303	34.84280623415116
61	(1.0846114082933+1.4829060807281669j)	0.9392997696835211	35.413999778973306
62	(0.8600116963229408+1.314342307925156j)	0.9913842049555601	35.98519332379546
63	(0.6666649691937989+1.1127963406448815j)	1.0310463388019877	36.55638686861761
64	(0.5089970613291332+0.8830197880435332j)	1.0478897580279214	37.12758041343976
65	(0.39032057426859773+0.6304362226325062j)	1.0164308856142228	37.69877395826192
66	(0.31295283540897695+0.36114667120427757j)	0.8567703784743899	38.26996750308406
67	(0.2783630170053291+0.08186765355605703j)	0.2860388044610895	38.84116104790621
68	(0.28728655559182403-0.2002161235136793j)	-0.6086567415660284	39.41235459272836
