	Famp	Fphase	w
110	(0.9088123252609969+0.683962843313033j)	0.6451564913687609	63.39785411337442
111	(0.6476019909478445+0.7126193317510726j)	0.8331608997261091	63.96900595223366
112	(0.38578574717546843+0.6620406382318812j)	1.043178008636738	64.5401577910929
113	(0.14553248941620436+0.5376003680474986j)	1.306425116614017	65.11130962995212
114	(-0.05358292694779641+0.3505801509718208j)	1.7224633321104275	65.68246146881134
115	(-0.19620699009251338+0.11692964541300097j)	2.604156078816526	66.25361330767058
116	(-0.2725055462292561-0.1443170811262576j)	-2.6545517256741027	66.8247651465298
117	(-0.2789837262165261-0.41284823843116353j)	-2.165063599602565	67.39591698538904
118	(-0.2186989212945217-0.6689670454433359j)	-1.8867641090116616	67.96706882424826
119	(-0.10079060537425324-0.895416433208134j)	-1.6828873309134242	68.5382206631075
120	(0.06066694163058414-1.0789698626921262j)	-1.5146287423256446	69.10937250196672
121	(0.24838459193290538-1.211624251921683j)	-1.3685964465586438	69.68052434082594
122	(0.4439527690730429-1.291253997078002j)	-1.2396419290510974	70.25167617968518
123	(0.630044829724795-1.3216325358935181j)	-1.1259479235417327	70.8228280185444
124	(0.7924403829040196-1.3117969030777452j)	-1.027376579459392	71.39397985740364
125	(0.9216064175536379-1.2748119461696763j)	-0.944842881565763	71.96513169626287
126	(1.0136461033373239-1.2260705561073129j)	-0.879959641347517	72.5362835351221
127	(1.0705259893564303-1.1813296644070592j)	-0.8345640054904669	73.10743537398132
128	(1.0995997210274906-1.1547169275030285j)	-0.8098429226170644	73.67858721284055
129	(1.1125382064378408-1.1569438675792583j)	-0.8049620965609663	74.24973905169978
130	(1.1238364703748878-1.1939288752467565j)	-0.8156303218302945	74.820890890559
131	(1.1490903196331235-1.2659755315084322j)	-0.8337587809237379	75.39204272941824
132	(1.2032260067269702-1.367579935765019j)	-0.8492421744341352	75.96319456827747
133	(1.2988356558675012-1.487867754662178j)	-0.8531279974177844	76.5343464071367
134	(1.4447353621365333-1.6115979147633486j)	-0.8399396826152965	77.10549824599593
135	(1.6448338879664082-1.7206213845698506j)	-0.8079135984104093	77.67665008485515
136	(1.897383204691351-1.7956517974369144j)	-0.757858298030014	78.24780192371438
137	(2.194675000946389-1.8181876641912162j)	-0.6918518538574251	78.81895376257361
138	(2.523240507223525-1.7724200122701619j)	-0.6123603317541304	79.39010560143285
139	(2.8645931331533205-1.646961510876515j)	-0.5217871760063411	79.96125744029207
140	(3.196515925250805-1.4362426209429953j)	-0.42228415126073465	80.5324092791513
141	(3.4948372554074596-1.1414384572830127j)	-0.3156847260327902	81.10356111801053
142	(3.735565835541794-0.7708195394123997j)	-0.20349009092427034	81.67471295686975
143	(3.897185037010102-0.33946253485051986j)	-0.08688525057078392	82.24586479572898
144	(3.9628549134617703+0.13168690433817556j)	0.03321808831991159	82.81701663458823
145	(3.922254476910864+0.6173420692798464j)	0.15611396628942242	83.38816847344745
146	(3.772825474363644+1.0898703110319257j)	0.2812182457690915	83.95932031230667
147	(3.520250407229858+1.5215738981990066j)	0.4079823947787791	84.53047215116591
148	(3.1780994385990704+1.8870358359648491j)	0.5358203793004992	85.10162399002513
149	(2.7666932142612337+2.165296582228494j)	0.6640592565207594	85.67277582888435
150	(2.3113293352159108+2.341643420380491j)	0.7919130642732168	86.24392766774359
151	(1.8400907949838534+2.408836981118781j)	0.9184635929161923	86.81507950660283
152	(1.3814850028071153+2.367662146323329j)	1.0426119846666266	87.38623134546205
153	(0.9621522871935662+2.226763446681222j)	1.1629395031671124	87.95738318432127
154	(0.6048424908926455+2.001797586225612j)	1.2773685217615978	88.52853502318051
155	(0.32680237360115555+1.7139990029181864j)	1.3823910784476179	89.09968686203973
156	(0.1386603396570486+1.3883026119179296j)	1.4712488591087232	89.67083870089897
157	(0.0438494467251696+1.051198780289801j)	1.5291067426329144	90.24199053975819
158	(0.03857847783557482+0.7285097024324372j)	1.5178904055706621	90.81314237861743
159	(0.11234054177619707+0.4432757846415647j)	1.322589584576821	91.38429421747665
160	(0.24893093688592952+0.21392766192311802j)	0.7099177140943773	91.95544605633589
161	(0.42792204703393455+0.05289554531198235j)	0.1229863784905834	92.52659789519511
162	(0.6265077481911583-0.034226698699410994j)	-0.05457667418702486	93.09774973405433
163	(0.8215846911741779-0.048889721732042306j)	-0.05943652283527388	93.66890157291357
164	(0.9918913609899924+0.000850498254220678j)	0.0008574508048309062	94.24005341177279
165	(1.1199911549676629+0.10137933439945332j)	0.09027196618608405	94.81120525063203
166	(1.1938765096035437+0.23507740644178182j)	0.19441553857515032	95.38235708949126
167	(1.2079967134512992+0.3822272821891632j)	0.3064468218207883	95.95350892835049
168	(1.1635738910467932+0.5230785000390121j)	0.42247525111465534	96.52466076720971
169	(1.0681618313999452+0.6398572040149983j)	0.5397033569440326	97.09581260606895
170	(0.9345051141193068+0.7185123035139358j)	0.6554684996275421	97.66696444492817
171	(0.7788516608280364+0.7500205833162491j)	0.7665426568180183	98.2381162837874
172	(0.6189419217246762+0.7311244853194574j)	0.8683018149072613	98.80926812264663
173	(0.4719299418086228+0.664440918798166j)	0.9532134590734066	99.38041996150586
174	(0.3524821456047076+0.5579482735056444j)	1.007359944738999	99.95157180036509
175	(0.2712548615270553+0.4239228645495584j)	1.0015764735351773	100.52272363922431
176	(0.2338844948720622+0.2774482690185509j)	0.8703894490896401	101.09387547808355
177	(0.24055086206927184+0.13465721467273506j)	0.5103260600363974	101.66502731694277
178	(0.2861087463475212+0.010884571945786752j)	0.03802514091899067	102.236179155802
179	(0.3607340030289797-0.08108746999166858j)	-0.22110946857990085	102.80733099466123
180	(0.45100029002224973-0.1325227295730552j)	-0.2857975228488866	103.37848283352045
181	(0.5412863677110864-0.13981747343359477j)	-0.25278059381732393	103.9496346723797
182	(0.6154043297604375-0.10506902605620773j)	-0.16910121675818435	104.52078651123892
183	(0.6583290904879564-0.03605933559414804j)	-0.05471934815395898	105.09193835009816
184	(0.6578958224031772+0.054362157635556636j)	0.08244304951835676	105.66309018895738
185	(0.6063171450745461+0.14945518449464193j)	0.24167874553115182	106.23424202781662
