	Famp	Fphase	w
0	(2.6867576857131206-0.4543630446736214j)	-0.1675270016409621	0.5711910080036178
1	(3.181336765267699-0.6465153525205726j)	-0.20049102394250715	1.1423820160072355
2	(3.67206216362432-0.37863444857075623j)	-0.10274909055555356	1.713573024010853
3	(3.963722894273021+0.20679088348714364j)	0.05212361719490579	2.284764032014471
4	(3.952335019799569+0.9691732389058659j)	0.24047042391126844	2.8559550400180886
5	(3.6080344504791726+1.734371916203847j)	0.4480864341209138	3.427146048021706
6	(2.9838321282417613+2.330260590704544j)	0.663024350476837	3.998337056025324
7	(2.202337839465065+2.630009015512986j)	0.8736699328523668	4.569528064028942
8	(1.4225927409524854+2.5838837593020862j)	1.0675203947729244	5.140719072032559
9	(0.797249717953528+2.2291783235884526j)	1.2273290124463125	5.711910080036177
10	(0.43305877320520125+1.6759270835146536j)	1.317927979148718	6.283101088039795
11	(0.36593225276722313+1.0737064212465524j)	1.242329957259371	6.854292096043412
12	(0.5567689437340729+0.5701268019412735j)	0.79725128528132	7.425483104047031
13	(0.9076392246595546+0.2732074188470242j)	0.2923820671596747	7.996674112050648
14	(1.2920919997276115+0.2276106729919514j)	0.17436778194919844	8.567865120054266
15	(1.5899602846009515+0.409813025467908j)	0.2522598247638827	9.139056128057884
16	(1.7168344406027933+0.7415027168659627j)	0.40770140640458646	9.7102471360615
17	(1.6409716002266226+1.115626755969602j)	0.5970791700118344	10.281438144065119
18	(1.3846637443215488+1.426800408470096j)	0.8003844862961822	10.852629152068737
19	(1.0115625690645595+1.597653109465617j)	1.006353993425845	11.423820160072355
20	(0.6049281070424226+1.5947514721244107j)	1.208239823248608	11.995011168075973
21	(0.24350461178213006+1.4311497835824898j)	1.4022641376611897	12.56620217607959
22	(-0.018424135988242808+1.1563473845789591j)	1.5867280246643918	13.137393184083209
23	(-0.16198219339120534+0.8375691861145238j)	1.7618335097990014	13.708584192086825
24	(-0.2035656096930875+0.5381851054950599j)	1.9324085386838064	14.279775200090443
25	(-0.18456724733588262+0.2994223780868642j)	2.1231954271170297	14.850966208094063
26	(-0.1545380779606696+0.13030496761998542j)	2.4410654338073985	15.422157216097679
27	(-0.15299700142681527+0.008298306718220377j)	3.0874073842410588	15.993348224101297
28	(-0.19534070008155993-0.1099478320982459j)	-2.6289361172883203	16.564539232104913
29	(-0.26705197033608136-0.2712808039109517j)	-2.348339225202946	17.135730240108533
30	(-0.3279470494831678-0.5076019858843285j)	-2.1444047244306605	17.70692124811215
31	(-0.3251960478970378-0.8220950727482161j)	-1.947477809103241	18.27811225611577
32	(-0.21117224328204445-1.1845248004489686j)	-1.7472187872436977	18.849303264119385
33	(0.03933057024362544-1.5372498718528549j)	-1.5452168862042486	19.420494272123
34	(0.4178282423743398-1.8103209661064763j)	-1.3439650330549417	19.99168528012662
35	(0.8803645738146556-1.9412757717307656j)	-1.1450373173541257	20.562876288130237
36	(1.3559278429224932-1.8938634598960762j)	-0.9494399913679772	21.134067296133857
37	(1.7628069354654683-1.6703239534885612j)	-0.7584662974707138	21.705258304137473
38	(2.0284497501079333-1.3138056975712609j)	-0.5747492846575915	22.276449312141093
39	(2.107606321386795-0.9003258956024708j)	-0.40371512624607137	22.84764032014471
40	(1.9942558809183892-0.5224453656956659j)	-0.25621719594575365	23.418831328148325
41	(1.7246411135493207-0.2687624485695348j)	-0.15459330528616502	23.990022336151945
42	(1.370994188394059-0.20402323949558016j)	-0.1477299228291887	24.56121334415556
43	(1.0275739930791894-0.35414152107572355j)	-0.33189043214414593	25.13240435215918
44	(0.7920151465625156-0.6990901560796092j)	-0.7231591172947409	25.703595360162794
45	(0.7456063561620923-1.1749403856966518j)	-1.0053299669257765	26.274786368166417
46	(0.9360948166794577-1.684664289114425j)	-1.0636206190162527	26.845977376170037
47	(1.3661493824390967-2.1158729782659993j)	-0.9974731772760304	27.41716838417365
48	(1.9898246836421203-2.3624968063430365j)	-0.8708158699824144	27.98835939217727
49	(2.718250090411698-2.3465686091333566j)	-0.7121445211353167	28.559550400180886
50	(3.4342861066467028-2.035880015996706j)	-0.5351161492591784	29.130741408184505
51	(4.014121874563796-1.453566991666671j)	-0.34742517456460986	29.701932416188125
52	(4.352022509281933-0.6768420559078525j)	-0.15428754109090043	30.273123424191738
53	(4.3831634017033085+0.17586958409696718j)	0.0401023826839853	30.844314432195358
54	(4.099239384179065+0.9675294665803883j)	0.23178459512820804	31.415505440198977
55	(3.552642183210215+1.5704163620974294j)	0.41621621359712546	31.986696448202594
56	(2.8473947661750896+1.8932604566173592j)	0.5867852692998284	32.55788745620621
57	(2.118193399802306+1.9011829514889864j)	0.7314594592372283	33.129078464209826
58	(1.5019839205342385+1.6234650565591764j)	0.8242469868452347	33.70026947221345
59	(1.1085770899920204+1.147006293676428j)	0.8024338829829358	34.271460480217065
60	(0.9972349493618294+0.5968406938494373j)	0.5393125633713156	34.84265148822068
61	(1.1647676375393272+0.10828982909082097j)	0.09270469719057978	35.4138424962243
62	(1.5478426251742108-0.20264398772522682j)	-0.13017988171374437	35.985033504227914
63	(2.038712882922009-0.2637308532151262j)	-0.12864701431526884	36.55622451223154
64	(2.510359880939119-0.060330175921231584j)	-0.024027855780456343	37.127415520235154
65	(2.8449362034062333+0.36418621538685986j)	0.12731963214652509	37.69860652823877
66	(2.95885378231378+0.9208966791976343j)	0.3017313271625856	38.269797536242386
67	(2.8189393619175123+1.4971927009945125j)	0.48823190289289453	38.840988544246
68	(2.446417898096326+1.9825566884609342j)	0.6810452856514205	39.412179552249626
